,cc_uid,cc_age,cc_investable_asset,cc_expenditure_asset,created_at
100144,1000171936,18,178100.0,22000.0,2018-11-13 09:57:36
77162,1000466175,18,114700.0,1300.0,2018-10-28 11:39:49
237504,1000294810,22,108300.0,31700.0,2019-09-12 18:43:52
73062,1000107874,22,10207000.0,63000.0,2018-10-25 16:26:12
119267,1000368551,22,140000.0,110000.0,2019-02-01 16:57:07
152510,1000351849,23,920000.0,150000.0,2019-05-01 02:33:06
231432,1000482854,24,791314.0,88686.0,2019-09-02 15:20:50
72342,1000226310,24,166500.0,84000.0,2018-10-24 12:46:56
157686,1000216775,24,-775680.0,1059680.0,2019-05-14 14:18:07
75355,1000126349,24,307400.0,44600.0,2018-10-27 13:37:44
234979,1000521588,25,80000.0,90000.0,2019-09-06 14:08:36
119024,1000398059,25,-1420540.0,2558840.0,2019-01-30 16:15:47
35704,1000095718,25,2658000.0,42000.0,2018-09-13 17:13:24
130495,1000114380,25,461800.0,355200.0,2019-03-14 12:10:28
68234,1000134808,25,276000.0,24000.0,2018-10-19 10:08:34
31171,1000126869,25,8446100.0,184000.0,2018-09-12 09:53:46
10149,1000126623,25,1187411.0,98589.0,2018-09-04 21:42:10
65057,1000450053,25,23340.0,66660.0,2018-10-12 18:10:00
223010,1000375659,25,20000.0,110000.0,2019-07-24 16:41:11
3747,1000433108,25,2660000.0,340000.0,2018-08-30 19:11:57
67838,1000179536,25,1098000.0,32000.0,2018-10-18 17:00:58
210914,1000118708,25,1151000.0,159000.0,2019-07-04 14:51:31
147914,1000433789,25,-83813.43,127413.43,2019-04-26 15:10:58
44192,1000115017,25,374200.0,290800.0,2018-09-20 21:33:08
14254,1000105792,25,33999.0,76001.0,2018-09-06 14:24:26
117557,1000466859,25,807400.0,175000.0,2019-01-17 22:22:15
67655,1000001054,25,10870000.0,130000.0,2018-10-18 15:36:57
101536,1000144465,26,286000.0,234000.0,2018-11-15 09:51:51
221766,1000140913,26,406000.0,84000.0,2019-07-21 11:12:08
213665,1000182499,26,7908640.0,353360.0,2019-07-09 13:52:46
80924,1000268164,26,1105690.0,394310.0,2018-10-29 14:45:03
85191,1000110614,26,192500.0,112500.0,2018-11-01 14:42:22
199761,1000163469,27,447160.0,462840.0,2019-06-28 13:41:00
64604,1000228280,27,199800.0,152200.0,2018-10-12 14:06:52
131843,1000162716,27,7120100.0,440000.0,2019-03-23 10:46:00
160148,1000221298,27,585400.0,179800.0,2019-05-20 18:25:05
74109,1000117415,27,160400.0,77600.0,2018-10-26 18:10:46
