,S_INFO_WINDCODE,S_VAL_MV,S_INFO_PROVINCE
0,600230.SH,457992.2142,河北省
1,600237.SH,212767.326,安徽省
2,002465.SZ,2220027.8209,广东省
3,300732.SZ,329642.6966,河南省
4,600007.SH,1784904.6502,北京
5,300068.SZ,971739.875,浙江省
6,300552.SZ,635439.328,北京
7,601369.SH,1141853.2887,陕西省
8,002518.SZ,517211.5099,广东省
9,002913.SZ,918509.4641,湖南省
10,601818.SH,23147785.8269,北京
11,600926.SH,4406842.1711,浙江省
12,002166.SZ,415432.8339,广西壮族自治区
13,600841.SH,614483.0895,上海
14,300634.SZ,789619.74,广东省
15,300126.SZ,159881.6976,上海
16,300718.SZ,376200.0,浙江省
17,000708.SZ,4794786.2617,湖北省
18,002626.SZ,1123230.071,福建省
19,600816.SH,2411889.8223,上海
20,002909.SZ,185640.0,广东省
21,603680.SH,862949.0337,江苏省
22,300593.SZ,366656.976,北京
23,603530.SH,858095.4311,江苏省
24,603833.SH,4899433.4847,广东省
25,600545.SH,1359011.1174,新疆维吾尔自治区
26,002676.SZ,250560.0,广东省
27,000566.SZ,785555.8072,海南省
28,002852.SZ,377723.0,湖南省
29,002067.SZ,338916.305,浙江省
30,601225.SH,8580000.0,陕西省
31,600695.SH,404634.1649,上海
32,000050.SZ,2793639.8416,广东省
33,601990.SH,2645656.37,江苏省
34,300669.SZ,201591.5901,浙江省
35,600332.SH,5813828.4336,广东省
36,002025.SZ,1072071.0,贵州省
37,002915.SZ,355481.1194,浙江省
38,600113.SH,297876.1598,浙江省
39,603089.SH,205403.752,浙江省
40,601860.SH,2430830.2223,江苏省
41,600131.SH,1068241.2034,四川省
42,002628.SZ,352949.1238,四川省
43,600665.SH,298122.2697,陕西省
44,000540.SZ,2360770.8268,贵州省
45,300629.SZ,218260.3914,广东省
46,300382.SZ,337047.9408,江苏省
47,600774.SH,265756.1103,湖北省
48,603318.SH,1259109.7088,辽宁省
49,000750.SZ,2086693.2761,广西壮族自治区
50,300190.SZ,627811.7506,江苏省
51,603908.SH,190133.19,浙江省
52,002199.SZ,320857.0344,浙江省
53,300109.SZ,555678.6508,河南省
54,000070.SZ,928817.9837,广东省
55,300566.SZ,374033.205,浙江省
56,600892.SH,280851.0224,广东省
57,002290.SZ,118443.617,江苏省
58,002803.SZ,506400.6652,福建省
59,603077.SH,1360012.5351,四川省
60,603629.SH,289800.0,江苏省
61,002826.SZ,195791.04,西藏自治区
62,002027.SZ,8248968.7174,广东省
63,002121.SZ,626715.3704,广东省
64,000638.SZ,150677.8,辽宁省
65,002069.SZ,206933.6485,辽宁省
66,300099.SZ,432949.273,山东省
67,002873.SZ,197775.144,贵州省
68,002310.SZ,1374956.546,北京
69,300415.SZ,330912.0,广东省
70,002569.SZ,134269.59,浙江省
71,600802.SH,294806.4702,福建省
72,002330.SZ,311240.0,山东省
73,603599.SH,669137.9544,安徽省
74,000547.SZ,1610495.9176,福建省
75,002810.SZ,276744.192,山东省
76,300090.SZ,227031.9026,安徽省
77,300590.SZ,511761.81,上海
78,000613.SZ,173675.7,海南省
79,300697.SZ,329472.0,江苏省
80,600365.SH,174800.0,吉林省
81,603606.SH,720823.1821,浙江省
82,002140.SZ,388050.044,安徽省
83,002200.SZ,112689.3287,云南省
84,002068.SZ,338811.6357,江西省
85,002236.SZ,4652240.637,浙江省
86,300254.SZ,170812.56,山西省
87,002435.SZ,519112.8684,江苏省
88,601088.SH,36159329.9872,北京
89,600860.SH,235476.0,北京
90,603317.SH,2305404.9,四川省
91,600765.SH,841021.4592,贵州省
92,600729.SH,1252107.6722,重庆
93,300467.SZ,354230.0374,四川省
94,002529.SZ,157040.0,福建省
95,000829.SZ,640029.7712,江西省
96,002585.SZ,538825.5876,江苏省
97,002831.SZ,1961192.5054,广东省
98,603236.SH,1569389.64,上海
99,600891.SH,82756.4976,黑龙江省
100,002463.SZ,4225557.5394,江苏省
101,603959.SH,445625.6,湖南省
