cc_uid,cc_age,cc_investable_asset,cc_expenditure_asset
1000000001,2875,11942874788.89,19271002.959999993
1000000002,3249,1672746482.0,18443069.529999997
1000000087,3025,1100839745.8099997,20558373.049999997
1000001054,3355,176524527449.86002,16430701.870000001
1000093119,2709,2175395789.58,4646616.69
1000095126,2914,1784874245.4500003,6849570.46
1000095718,3355,33668762999.700005,7461829.45
1000105609,2665,30237997769.5,66980993.44000002
1000105792,3355,117407358.84000003,24014010.58
1000106528,2875,10808554047.7,21913065.169999994
1000107703,3249,511338209.56999993,28786221.07
1000107874,3424,14073410906.599998,4336909.09
1000110262,2835,1115440299.9,13005097.270000005
1000110614,3330,4008783276.6300006,13068559.670000006
1000110749,3127,1949067443.19,11441206.42
1000110987,3060,2631266332.1699996,10227607.370000003
1000112338,2430,18436808.750000004,1409862.0799999998
1000113825,3159,39639885.870000005,14002007.949999997
1000113840,3159,1437861886.95,3814145.3300000005
1000113987,2527,469913087.92,4822944.7299999995
1000114036,3277,735655783.8299999,45197558.21000001
1000114129,3025,24003985039.210007,18500952.89
1000114380,3355,-3047101310.62,56380680.6
1000114604,1825,-258942778.20000002,29158516.879999995
1000114693,2620,251382265.29,6679243.66
1000115017,3355,6065302228.07,21716368.409999993
1000116128,3190,3175535208.55,14579522.610000003
1000117286,3220,3332268786.01,16711881.5
1000117358,2914,107313023.32,16806412.34
1000117415,3304,3014860460.569999,6020241.6
1000117745,3159,27234136426.790005,49315557.590000026
1000117841,2665,665832574.95,6625611.100000001
1000118708,3355,33308178004.91,73746020.60000001
1000118931,3190,231863282.69,18595869.239999995
1000119061,2794,427514861.31999993,5874518.460000001
1000119791,2224,137367059.00000003,9670228.950000003
1000120685,2989,-160473227.29,16220890.780000001
1000120702,3159,1129932108.8700001,28029904.290000014
1000120790,3249,1506340118.9000003,25203539.420000006
1000121637,3220,9144835115.05,18323684.330000002
1000121792,2574,1710632886.39,9570754.87
1000122030,2794,562749258.79,6047604.7700000005
1000122149,3277,1440704630.24,16679344.099999998
1000122883,2752,1090834776.99,34620396.37
1000123040,2794,-77013459.39000002,5370424.26
1000123353,2329,89300063.38999999,5062880.300000001
1000123991,2835,289221627.92,4902582.390000001
1000124193,3277,2670088682.8199997,5749595.06
1000124743,2752,432609943.4599999,10322712.69
1000125453,2574,1135679873.74,4188196.19
1000126349,3379,1962203258.4500003,4900603.99
1000126623,3355,-5490696278.530001,41711837.34000002
1000126822,2479,721731471.77,9407840.22
1000126869,3355,137901530926.62997,13441085.569999998
1000127074,2574,163695430.12,12245670.920000002
1000127577,2574,416997571.39000005,19531364.48
1000128950,2835,982215108.8999999,6461260.3100000005
1000129108,2914,1088598730.6,8208564.010000002
1000129239,3220,-5397622373.6,34603734.09
1000129418,3094,657845051.17,5280867.510000001
1000129507,2914,-1296514566.2500002,22978729.990000002
1000129813,3025,5720552575.879999,61765142.45
1000130862,2709,-24283581.29,5494357.02
1000130901,2574,2928934476.82,9431882.920000004
1000130981,2794,2034855341.1000001,4625791.1499999985
1000133328,2479,4839435999.940001,35689594.919999994
1000133509,3025,1143982407.3300002,8470515.42
1000134156,3159,2562100369.73,15156050.889999995
1000134198,3127,721177485.8900001,31169242.560000006
1000134679,2875,1154966802.99,3823606.2500000014
1000134721,2914,92794293.17000005,21795083.709999993
1000134747,3159,1090472450.45,8773798.580000002
1000134808,3355,2470509586.7200003,5575925.05
1000134849,3249,8516919072.65,41726396.260000005
1000134860,3127,244333256.59000003,4703843.660000001
1000134912,2709,1507700581.01,6074820.209999999
1000135053,2665,314444200.87,12931295.720000004
1000135317,2835,8759324405.75,28090966.030000005
1000135481,3025,1833893492.09,7610002.360000002
1000136225,2914,6055187051.45,56819110.34000001
1000137078,2709,1651643086.6000001,18940541.27
1000137392,3190,2892262674.6400003,30006266.74
1000137509,2952,1046664422.19,1458823.43
1000137774,2574,631759667.1099999,17871767.689999998
1000139877,3127,696441156.25,7337413.2
1000140452,3025,329488697.86999995,7017140.99
1000140876,3190,2067722760.1100004,7174199.959999996
1000140903,2709,204223354.46999997,2595849.0100000002
1000140913,3330,5434213190.839999,10245225.69
1000143350,3220,-1426895654.81,16939703.750000004
1000143609,3159,2630660155.2199993,28889450.980000004
